id	valence	sd	text
21	-0.74	0.66	Donc, en voyant les humains autour des feux et des chants de Noël, les mésanges jonglaient un peu tristement à tout ça . 
22	0.3	0.54	Elles se disaient : "C'est curieux, ces visiteurs semblent avoir trouvé un truc pour se rassembler en paix ensemble et s'amuser. 
23	0.56	0.58	Est-ce que réchauffés par les feux et entraînés par les chants, ils découvrent le plaisir d'être ensemble ? 
24	1.07	0.73	Que ce serait merveilleux si tous les animaux de la forêt pouvaient en faire autant, au moins une ou deux nuits par année, comme ces humains".
25	1	0.62	Alors, les mésanges se sont dit, en rêvant un peu, "Il faudrait essayer d'organiser au moins une fête de la paix pour tous les animaux de la montagne.
26	0.7	0.61	Et pourquoi ne pas profiter de cette réunion nocturne des humains et de leurs beaux feux qui brillent dans la nuit. 
27	1	0.73	Ça a l'air magique"
28	0.19	0.4	Le printemps venu, les mésanges ont commencé la grande tournée de la montagne. 
29	0.33	0.48	Elles ont parlé aux lapins, aux écureuils, aux tamias, aux musaraignes et à une foule de petits oiseaux. 
30	0.44	0.7	Tous étaient enchantés à l'idée de la fête, mais restaient quand même un tantinet sceptiques. 
31	-0.81	0.56	Le renard, lui, riait proclamant avec un petit air de mépris : "La bonne entente, c'est juste bon pour les peureux et les faibles. 
32	-0.74	0.76	Moi, j'ai besoin de chasser pour manger. 
33	-0.44	0.58	Je ne bouffe pas des bourgeons et des pommes comme le chevreuil. 
34	-0.48	0.58	Le coyote, le Grand Duc et la belette n'étaient guère plus sympathiques, mais n'osèrent pas refuser carrément.
35	0.19	0.4	Alors la pleine lune de juin arrivée, les mésanges ont tiré Jack Rabbit dans un coin pour parler de leur projet.
36	0.3	0.47	Jack les a écoutés patiemment. 
37	0.68	0.8	Il a souri et a expliqué que la fameuse réunion de l'hiver avec les feux, les chants et le chocolat chaud était une célébration de Noël, la grande fête de la paix chez les humains et que les humains faisaient ça pour se pardonner les uns les autres et faire la trêve pendant quelques jours. 
38	0.7	0.54	Il a accepté d'organiser une fête de la paix pour les animaux de la montagne avant Noël immédiatement après la soirée des humains. 
39	0.36	0.57	Il a invité tous ceux qui ne dorment pas tout l'hiver à se réunir pour pratiquer, à la pleine lune de novembre, en précisant, "Mes amis, nous préparerons ensemble votre noël sur la montagne, mais il faut que vous soyez tous calmes et respectueux des autres ce jour-là, sinon j'abandonne". 
40	0.59	0.75	Plus ou moins de bon coeur, tous ont accepté l'invitation
41	0.63	0.69	Le jour de la pratique arrivée, Jack a réuni les animaux au bord du lac sous un beau ciel étoilé. 
42	0	0.62	Les petits étaient nerveux, les forts faisaient les braves. 
43	0.15	0.36	Les oiseaux étaient perché sur les branches, les animaux à terre, les grands animaux en demi-cercle en arrière, les petits en avant. 
44	0.15	0.36	Les mésanges s'installèrent dans les branches pour surveiller et pour voir si tout le monde respectait la consigne de la paix pour le soir de la pratique. 
45	0	0.28	Les faucons, les pics et les autres oiseaux migrateurs ne participaient pas, ils étaient partis vers le sud et les grenouilles, les salamandres et les marmottes dormaient déjà. 
46	-0.15	0.46	Les tamias avaient décidé de participer, mais ils bâillaient et ils cognaient des clous.
47	0.15	0.36	Jack a demandé le silence et a commencé à diriger le concert.
48	0.74	0.59	Les animaux ont gonflé leurs poumons, et se sont mis à ronfler, à glousser, à chanter et à siffler. 
49	1.22	0.58	Timidement au début et avec de plus en plus d'enthousiasme ensuite. 
50	1.3	0.72	C'était une joyeuse cacophonie, pas mal différent des chants de la chorale de Noël. 
51	1.26	0.66	Tout le monde se regardait fièrement. 
52	1.48	0.64	Quelle belle fête. 
53	1.48	0.7	Que ça allait être beau en décembre avec la neige et les feux.
54	-0.67	0.88	Subitement, il y a eu un émoi. 
55	-1.52	0.64	Des cris. Tout le monde a déguerpi, disparu dans la nuit. 
56	-1.07	0.78	En quelques secondes, le bord du lac était désert. 
57	-1.19	0.83	Il ne restait que quelques plumes à terre et plein de traces de griffes et de pattes sur le sable. 
58	-0.22	0.42	Que s'était-il donc passé ? Jack a appelé les mésanges pour avoir leur version. 
59	0.04	0.19	Naturellement, elles avaient tout vu. 
60	-1.22	0.75	Voici ce qu'elles ont rapporté : "Le Grand Duc a discrètement avalé un cardinal, un renard a sournoisement croqué une lapine et une belette a avalé une musaraigne. 
61	-1.56	0.64	Les cris perçants des pauvres victimes ont alerté les animaux. 
62	-1.52	0.7	Tous se sont enfuits effrayés et le charme de la soirée a été rompu. 
63	-0.85	0.72	Jack, il faut abandonner le projet. 
64	-0.7	0.67	C'est trop difficile", ont conclu les mésanges.
65	0.42	0.7	Mais, le vieux Jack, même mort, ne voulait pas lâcher prise si vite. 
66	0.41	0.5	Il a donc convoqué le Grand Duc, le renard et la belette le lendemain soir au bord du lac non pas avec l'intention de les punir mais pour comprendre ce qui s'était passé et pour tenter de sauver le premier noël des animaux.
67	-0.26	0.94	Le Grand Duc s'est excusé , "J'avais une faim terrible, Jack, et le cardinal était si beau et ragoûtant à croquer". 
68	-0.59	0.75	Le renard, la tête baissée, a avoué "Je voulais me venger car, pendant la pratique, la lapine riait de mes glapissements. 
69	-0.78	0.85	J'ai été insulté et humilié".
70	-0.63	0.63	La belette, elle déclare tout indignée, "La musaraigne se prenait pour plus fine que moi. 
71	-0.23	0.51	Elle a pris la meilleure place en avant. 
72	-0.26	0.53	C'était ma place ça. 
73	-0.37	0.69	Je suis plus futée qu'elle. 
74	-1.07	0.68	Alors j'ai décidé de lui donner une leçon".
75	0.22	0.42	Jack a écouté patiemment.
76	0.33	0.48	Mes amis, je vous comprends. 
77	0.52	0.58	Vous êtes beaux, fins et rusés. 
78	0.44	0.85	Mais il n'y a pas de paix si on ne maîtrise pas son appétit, si on a le coeur à la vengeance ou si on veut écraser les plus petits. 
79	-0.26	0.81	Là, le renard, toujours un peu cinglant, n'a pu résister. 
80	-0.37	0.88	Il a regardé Jack droit dans les yeux Sauf le respect que vous dois, cher Jack, j'apprécie vos compliments mais en matière de chasse ou d'appétit, vous n'avez pas de leçons à nous faire. 
81	-0.48	0.85	Vous avez probablement mangé autant de lapins dans votre vie que moi et chassé autant de bêtes que nous tous ensemble. 
82	-0.41	0.75	Les autres humains ne sont pas meilleurs. 
83	-0.07	0.62	Maintenant que vous n'êtes plus dans votre corps, vous n'avez plus faim. 
84	0	0.39	Pour nous, c'est une autre histoire. 
85	-0.44	0.8	La paix, la paix, ce n'est pas pour la forêt, c'est juste bon pour des fantômes, comme vous".
86	0	0.62	Le Grand Duc et la belette faisaient oui, oui, de la tête. 
87	-0.3	0.61	Jack a rougi. 
88	0.07	0.62	Le Renard avait diablement raison. 
89	0.3	0.61	Il a répondu un peu gêné : "Tu as raison, mon ami Renard. 
90	-0.22	0.75	Vous et nous sommes tous des chasseurs à la recherche de plus faibles que nous, jusqu'à notre mort. 
91	0.85	0.6	Sais-tu, c'est justement pour cela que les humains se réunissent tous les ans à Noël, autour du berceau d'un petit bébé pauvre et faible, qui est devenu le Roi de la paix, c'est pour se rappeler qu'ils doivent continuer de bâtir la paix ensemble. 
92	0	0.73	Ils ont souvent manqué leur coup, même plus que les animaux. 
93	0.22	0.8	Pour vous les animaux et pour nous les humains, fabriquer la paix est un travail long et difficile, toujours à recommencer. 
94	0.56	0.64	Il faut de la patience et du courage pour réussir".
95	-0.19	0.74	Les trois chasseurs ont soupiré. 
96	-0.3	0.67	Ils trouvaient que le vieux Jack leur demandait des choses qui allaient contre toutes leurs convictions, contre tout ce qu'ils avaient toujours fait. 
97	0.89	0.51	Mais ils étaient de bonne volonté. 
98	0.89	0.64	Jack leur a serré la patte et décidé de leur faire confiance. 
99	0.59	0.57	Il a confié une tâche à chacun. 
100	0.44	0.51	Vous serez mes assistants. 
101	0.59	0.64	Alors, mon cher renard, si tu l'acceptes, je te confie à toi et ta famille, l'entretien des foyers.
102	0.56	0.51	Apportez du bois pour les garder bien vivants. 
103	0.93	0.62	Ma petite belette avec vos amies, vous allez servir aux invités du bon cidre de pomme chaud que je vous préparerai. 
104	0.89	0.58	C'est un gros boulot, mais vous êtes nombreuses et vaillantes. 
105	0.73	0.53	Vous le Grand Duc, vous êtes moins nombreux, mais efficaces. 
106	0.41	0.5	Vous ferez la surveillance des lieux, du haut du ciel . 
107	0.67	0.55	Vous serez les gardiens de la paix. 
108	0.74	0.53	Vous pourrez toujours compter sur l'aide des mésanges.
109	0.37	0.49	Pendant cet entretien, les animaux se sont massés près du lac et Jack est arrivé avec ses nouveaux assistants et a repris la répétition. 
110	0.35	0.69	Les petits étaient un peu nerveux, regardaient à droite et à gauche, mais tout se passait bien. 
111	0.74	0.45	En partant Jack leur a lancé gentiment:
112	1	0.55	Au revoir! à Noël ! Je suis sûr que nous aurons quelques belles heures de paix et de bonne entente.
113	0.81	0.74	Et oui, un mois plus tard - c'était l'année dernière - la fameuse célébration de "Noël sur la montagne" est enfin arrivée. 
114	-0.56	0.7	Les musaraignes, les lapins, les tamias et les petits oiseaux étaient tendus, inquiets. 
115	-1	0.73	Ils regardaient autour d'eux, pour voir s'il n'y avait pas l'oeil menaçant de quelqu'un qui voulait les dévorer.
116	-0.19	0.68	Les gros et forts étaient confiants mais un peu mal à l'aise à jouer les gentils. 
117	0.3	0.47	Jack était là, discret mais attentif. 
118	0.7	0.54	Il rassurait tout le monde et encourageait ses assistants. 
119	-0.07	0.62	Les mésanges étaient aux aguets. 
120	0.96	0.65	Vraiment, tous travaillaient fort et de bon coeur. 
121	0.81	0.62	Les renards couraient partout avec des branches et bûches dans le bec pour alimenter les foyers. 
122	0.85	0.6	Ils soufflaient doucement sur les braises pour garder la chaleur. 
123	0.48	0.64	Le Grand Duc volait silencieusement dans le ciel noir au dessus de la foule. 
124	0.96	0.65	Jack Rabbit se promenait partout, le sourire aux lèvres.
125	1.67	0.55	Quel spectacle merveilleux, encore plus frappant que la fête des humains, car on y voyait toutes les couleurs, tous les genres de fourrures et on entendait toutes sortes de voix et de cris. 
126	1.56	0.64	Les animaux admiraient les beaux feux, se faisaient des petites salutations et chantaient avec mille voix différentes. 
127	1.22	0.7	De temps en temps, ils partaient discrètement pour alors boire du bon cidre servi par les belettes.
128	0.96	0.81	Les mésanges avaient peine à croire que c'était vrai. 
129	1.41	0.64	Enfin, une fête sans drame. 
130	1.48	0.7	C'était incroyable! Leur premier Noël! 
131	1.22	0.8	Après un peu d'hésitation, tous les animaux, même les plus féroces montraient les yeux doux, les griffes rentrées. 
132	0.93	0.68	Ils avaient quand même d'étranges sensations dans le ventre car ce soir ils se voyaient tout autrement, non plus comme des chasseurs près de leurs proies, mais plutôt comme des compagnons paisibles.
133	0.67	0.78	On croit que la fête s'est déroulée sans incident. 
134	-0.78	0.58	Bien qu'après la fête, les mésanges ont rapporté avoir trouvé trois plumes de cardinal près du petit chalet et quelques touffes de fourrure de lapin sur la neige, à côté du monument du Brigadier Gault. 
135	0.85	0.77	Mais elles ont annoncé la bonne nouvelle que tout le monde avait hâte de reprendre l'expérience au prochain Noël.
136	1.44	0.58	Alors, cette année, la forêt sur la montagne autour des visiteurs du soir est de nouveau pleine de petits et gros yeux qui brillent, de coeurs qui battent fort. 
137	1.3	0.61	Quand les visiteurs seront partis dans leurs foyers, les animaux sortiront de l'ombre pour refaire la fête, une autre fois, et vivre en paix pour quelques heures.
